
Transactions Submitted
Transaction ID,Client Ref 2,Action Date,Instalment,Service Type,Instalments,Account Name,Value,Frequency,

Cancelled
Transaction ID,Client Ref 2,Action Date,Instalment,Service Type,Instalments,Account Name,Value,Frequency,

InProgress
Transaction ID,Client Ref 2,Action Date,Instalment,Service Type,Instalments,Account Name,Value,Frequency,

Failed
Transaction ID,Client Ref 2,Action Date,Instalment,Service Type,Instalments,Account Name,Value,Frequency,Reason Code,

Future
Transaction ID,Client Ref 2,Action Date,Instalment,Service Type,Instalments,Account Name,Value,Frequency,
9916646,5461,2018/04/30,2,2 Day Debit,2,H,215.00,3,
8727797,2175,2018/04/30,4,2 Day Debit,4,N,388.00,3,
9995045,4119,2018/04/30,2,2 Day Debit,3,A,153.00,3,
9995496,3413,2018/04/30,2,2 Day Debit,2,X,88.00,3,
10353013,2439,2018/04/30,1,2 Day Debit,1,S,119.00,3,
9994945,4381,2018/04/30,2,2 Day Debit,3,F,300.00,3,
9995396,3042,2018/04/30,2,2 Day Debit,3,A,50.00,3,
9922415,3873,2018/04/30,2,2 Day Debit,2,N,338.00,3,
9994962,4365,2018/04/30,2,2 Day Debit,3,N,50.00,3,
9995413,3090,2018/04/30,2,2 Day Debit,2,N,50.00,3,
10352913,3238,2018/04/30,1,2 Day Debit,1,Z,300.00,3,
10352930,3122,2018/04/30,1,2 Day Debit,1,N,300.00,3,
9995394,3041,2018/04/30,2,2 Day Debit,2,Y,170.00,3,
10352894,2945,2018/04/30,1,2 Day Debit,1,N,170.00,3,
10353051,2195,2018/04/30,1,2 Day Debit,1,N,301.00,3,
10353953,2100,2018/04/30,1,2 Day Debit,3,A,250.00,3,
9994983,4337,2018/04/30,2,2 Day Debit,3,S,300.00,3,
9995294,2745,2018/04/30,2,2 Day Debit,3,J,88.00,3,
9995451,3645,2018/04/30,2,2 Day Debit,3,N,170.00,3,
10352951,2967,2018/04/30,1,2 Day Debit,1,K,300.00,3,
10353362,5422,2018/04/30,1,2 Day Debit,1,X,300.00,3,
9916176,2016,2018/04/30,2,2 Day Debit,2,P,157.00,3,
9995351,2948,2018/04/30,2,2 Day Debit,2,T,170.00,3,
10353262,2069,2018/04/30,1,2 Day Debit,2,L,300.00,3,
10353419,4763,2018/04/30,1,2 Day Debit,2,N,83.00,3,
9916076,5442,2018/04/30,2,2 Day Debit,2,B,178.00,3,
9919350,5197,2018/04/30,2,2 Day Debit,2,N,157.00,3,
10353319,5067,2018/04/30,1,2 Day Debit,2,M,300.00,3,
9922553,3809,2018/04/30,2,2 Day Debit,2,B,200.00,3,
10352828,3678,2018/04/30,1,2 Day Debit,1,N,301.00,3,
10353730,3696,2018/04/30,1,2 Day Debit,3,V,295.00,3,
9916767,5246,2018/04/30,2,2 Day Debit,2,B,100.00,3,
9954580,2286,2018/04/30,2,2 Day Debit,2,E,150.00,3,
8350986,2951,2018/04/30,5,2 Day Debit,5,C,170.00,3,
10353108,2035,2018/04/30,1,2 Day Debit,1,T,37.00,3,
9955045,2186,2018/04/30,2,2 Day Debit,2,N,365.00,3,
9916019,2040,2018/04/30,2,2 Day Debit,2,V,178.00,3,
10353008,2450,2018/04/30,1,2 Day Debit,3,L,170.00,3,
9955413,2481,2018/04/30,2,2 Day Debit,2,T,345.00,3,
10353222,5138,2018/04/30,1,2 Day Debit,1,N,300.00,3,
9995154,4927,2018/04/30,2,2 Day Debit,3,N,51.00,3,
10353025,2322,2018/04/30,1,2 Day Debit,1,N,300.00,3,
10353476,3829,2018/04/30,1,2 Day Debit,1,W,300.00,3,
10353122,3926,2018/04/30,1,2 Day Debit,1,T,37.00,3,
10352925,3154,2018/04/30,1,2 Day Debit,1,N,250.00,3,
10353376,4971,2018/04/30,1,2 Day Debit,1,A,300.00,3,
9916119,2025,2018/04/30,2,2 Day Debit,2,S,178.00,3,
10353139,5338,2018/04/30,1,2 Day Debit,1,N,37.00,3,
10353590,4466,2018/04/30,1,2 Day Debit,1,N,214.00,3,
6152687,2712,2018/04/30,9,2 Day Debit,31,N,350.00,3,
10353393,4800,2018/04/30,1,2 Day Debit,2,L,250.00,3,
10353844,2207,2018/04/30,1,2 Day Debit,3,A,153.00,3,
10353039,3213,2018/04/30,1,2 Day Debit,1,A,295.00,3,
10353490,4083,2018/04/30,1,2 Day Debit,1,N,250.00,3,
9916005,5394,2018/04/30,2,2 Day Debit,2,N,307.00,3,
9922339,4036,2018/04/30,2,2 Day Debit,2,S,186.00,3,
9994938,4390,2018/04/30,2,2 Day Debit,3,N,214.00,3,
9955411,2481,2018/04/30,2,2 Day Debit,2,T,301.00,3,
10353006,2471,2018/04/30,1,2 Day Debit,1,A,37.00,3,
10352906,3275,2018/04/30,1,2 Day Debit,1,N,100.00,3,
9916622,2162,2018/04/30,2,2 Day Debit,2,N,214.00,3,
9921152,5056,2018/04/30,2,2 Day Debit,2,S,251.00,3,
9995052,4038,2018/04/30,2,2 Day Debit,3,L,300.00,3,
9995406,3075,2018/04/30,2,2 Day Debit,4,N,300.00,3,
9994952,4376,2018/04/30,2,2 Day Debit,3,N,295.00,3,
10352923,3180,2018/04/30,1,2 Day Debit,1,N,295.00,3,
10353374,4977,2018/04/30,1,2 Day Debit,2,N,300.00,3,
9916639,5445,2018/04/30,2,2 Day Debit,2,N,370.00,3,
9921169,5044,2018/04/30,2,2 Day Debit,2,N,251.00,3,
9921620,4573,2018/04/30,2,2 Day Debit,2,N,150.00,3,
9994855,4691,2018/04/30,2,2 Day Debit,2,S,300.00,3,
9995306,2784,2018/04/30,2,2 Day Debit,3,N,300.00,3,
10352823,3703,2018/04/30,1,2 Day Debit,1,V,300.00,3,
10353274,2878,2018/04/30,1,2 Day Debit,1,M,303.00,3,
9954575,2288,2018/04/30,2,2 Day Debit,2,A,338.00,3,
9921252,4926,2018/04/30,2,2 Day Debit,2,N,300.00,3,
9955380,2454,2018/04/30,2,2 Day Debit,4,O,201.00,3,
10353291,5082,2018/04/30,1,2 Day Debit,2,N,300.00,3,
9922178,4276,2018/04/30,2,2 Day Debit,2,N,300.00,3,
10352899,3296,2018/04/30,1,2 Day Debit,1,N,300.00,3,
10353350,3215,2018/04/30,1,2 Day Debit,1,U,300.00,3,
10353801,3019,2018/04/30,1,2 Day Debit,3,N,295.00,3,
9921176,5021,2018/04/30,2,2 Day Debit,2,N,300.00,3,
9921627,4572,2018/04/30,2,2 Day Debit,2,N,300.00,3,
